Market,Cat_ID,Cat_Name,Parent_ID,Level,Full_Path
쿠팡,C000004,뷰티,ROOT,1,뷰티
쿠팡,C000003,남성화장품,C000004,2,뷰티 > 남성화장품
쿠팡,C000002,남성메이크업,C000003,3,뷰티 > 남성화장품 > 남성메이크업
쿠팡,C000001,남성 기타 베이스메이크업,C000002,4,뷰티 > 남성화장품 > 남성메이크업 > 남성 기타 베이스메이크업
쿠팡,C000005,남성 아이브로우,C000002,4,뷰티 > 남성화장품 > 남성메이크업 > 남성 아이브로우
쿠팡,C000006,남성 위장크림,C000002,4,뷰티 > 남성화장품 > 남성메이크업 > 남성 위장크림
쿠팡,C000007,남성 파운데이션/쿠션,C000002,4,뷰티 > 남성화장품 > 남성메이크업 > 남성 파운데이션/쿠션
쿠팡,C000008,남성 팩트/파우더,C000002,4,뷰티 > 남성화장품 > 남성메이크업 > 남성 팩트/파우더
쿠팡,C000009,남성BB/CC크림,C000002,4,뷰티 > 남성화장품 > 남성메이크업 > 남성BB/CC크림
쿠팡,C000012,남성스킨케어,C000003,3,뷰티 > 남성화장품 > 남성스킨케어
쿠팡,C000011,각질케어,C000012,4,뷰티 > 남성화장품 > 남성스킨케어 > 각질케어
쿠팡,C000010,스크럽,C000011,5,뷰티 > 남성화장품 > 남성스킨케어 > 각질케어 > 스크럽
쿠팡,C000013,필링,C000011,5,뷰티 > 남성화장품 > 남성스킨케어 > 각질케어 > 필링
쿠팡,C000014,남성 로션/에멀젼,C000012,4,뷰티 > 남성화장품 > 남성스킨케어 > 남성 로션/에멀젼
쿠팡,C000015,남성 립밤,C000012,4,뷰티 > 남성화장품 > 남성스킨케어 > 남성 립밤
쿠팡,C000016,남성 마스크팩,C000012,4,뷰티 > 남성화장품 > 남성스킨케어 > 남성 마스크팩
쿠팡,C000017,남성 스킨/토너,C000012,4,뷰티 > 남성화장품 > 남성스킨케어 > 남성 스킨/토너
쿠팡,C000018,남성 슬리핑/젤타입 팩,C000012,4,뷰티 > 남성화장품 > 남성스킨케어 > 남성 슬리핑/젤타입 팩
쿠팡,C000019,남성 아이케어,C000012,4,뷰티 > 남성화장품 > 남성스킨케어 > 남성 아이케어
쿠팡,C000020,남성 애프터 쉐이빙 케어,C000012,4,뷰티 > 남성화장품 > 남성스킨케어 > 남성 애프터 쉐이빙 케어
쿠팡,C000021,남성 에센스/세럼/앰플,C000012,4,뷰티 > 남성화장품 > 남성스킨케어 > 남성 에센스/세럼/앰플
쿠팡,C000022,남성 올인원,C000012,4,뷰티 > 남성화장품 > 남성스킨케어 > 남성 올인원
쿠팡,C000023,남성 크림,C000012,4,뷰티 > 남성화장품 > 남성스킨케어 > 남성 크림
쿠팡,C000025,남성선케어,C000012,4,뷰티 > 남성화장품 > 남성스킨케어 > 남성선케어
쿠팡,C000024,선스틱/선스프레이,C000025,5,뷰티 > 남성화장품 > 남성스킨케어 > 남성선케어 > 선스틱/선스프레이
쿠팡,C000026,선크림/선로션,C000025,5,뷰티 > 남성화장품 > 남성스킨케어 > 남성선케어 > 선크림/선로션
쿠팡,C000028,남성클렌징,C000012,4,뷰티 > 남성화장품 > 남성스킨케어 > 남성클렌징
쿠팡,C000027,시트/티슈,C000028,5,뷰티 > 남성화장품 > 남성스킨케어 > 남성클렌징 > 시트/티슈
쿠팡,C000029,오일/워터/크림,C000028,5,뷰티 > 남성화장품 > 남성스킨케어 > 남성클렌징 > 오일/워터/크림
쿠팡,C000030,클렌징폼/젤/비누,C000028,5,뷰티 > 남성화장품 > 남성스킨케어 > 남성클렌징 > 클렌징폼/젤/비누
쿠팡,C000032,남성화장품세트,C000003,3,뷰티 > 남성화장품 > 남성화장품세트
쿠팡,C000031,남성 2종 세트,C000032,4,뷰티 > 남성화장품 > 남성화장품세트 > 남성 2종 세트
쿠팡,C000033,남성 3종 세트,C000032,4,뷰티 > 남성화장품 > 남성화장품세트 > 남성 3종 세트
쿠팡,C000034,남성 4종 이상 세트,C000032,4,뷰티 > 남성화장품 > 남성화장품세트 > 남성 4종 이상 세트
쿠팡,C000035,남성 여행용 세트,C000032,4,뷰티 > 남성화장품 > 남성화장품세트 > 남성 여행용 세트
쿠팡,C000039,네일,C000004,2,뷰티 > 네일
쿠팡,C000038,네일메이크업,C000039,3,뷰티 > 네일 > 네일메이크업
쿠팡,C000037,네일리무버,C000038,4,뷰티 > 네일 > 네일메이크업 > 네일리무버
쿠팡,C000036,쏙오프용품,C000037,5,뷰티 > 네일 > 네일메이크업 > 네일리무버 > 쏙오프용품
쿠팡,C000040,일반네일 리무버,C000037,5,뷰티 > 네일 > 네일메이크업 > 네일리무버 > 일반네일 리무버
쿠팡,C000041,젤네일 클렌져/리무버,C000037,5,뷰티 > 네일 > 네일메이크업 > 네일리무버 > 젤네일 클렌져/리무버
쿠팡,C000043,네일아트도구,C000038,4,뷰티 > 네일 > 네일메이크업 > 네일아트도구
쿠팡,C000042,기타네일소품,C000043,5,뷰티 > 네일 > 네일메이크업 > 네일아트도구 > 기타네일소품
쿠팡,C000044,네일 글리터/파우더,C000043,5,뷰티 > 네일 > 네일메이크업 > 네일아트도구 > 네일 글리터/파우더
쿠팡,C000045,네일 드라이어,C000043,5,뷰티 > 네일 > 네일메이크업 > 네일아트도구 > 네일 드라이어
쿠팡,C000046,네일 브러시,C000043,5,뷰티 > 네일 > 네일메이크업 > 네일아트도구 > 네일 브러시
쿠팡,C000047,네일 스톤/파츠,C000043,5,뷰티 > 네일 > 네일메이크업 > 네일아트도구 > 네일 스톤/파츠
쿠팡,C000048,네일 스티커,C000043,5,뷰티 > 네일 > 네일메이크업 > 네일아트도구 > 네일 스티커
쿠팡,C000049,네일 핀셋/가위,C000043,5,뷰티 > 네일 > 네일메이크업 > 네일아트도구 > 네일 핀셋/가위
쿠팡,C000050,네일글루/본드,C000043,5,뷰티 > 네일 > 네일메이크업 > 네일아트도구 > 네일글루/본드
쿠팡,C000051,네일팁/인조손톱,C000043,5,뷰티 > 네일 > 네일메이크업 > 네일아트도구 > 네일팁/인조손톱
쿠팡,C000052,반경화 네일,C000043,5,뷰티 > 네일 > 네일메이크업 > 네일아트도구 > 반경화 네일
쿠팡,C000053,반경화 패디,C000043,5,뷰티 > 네일 > 네일메이크업 > 네일아트도구 > 반경화 패디
쿠팡,C000054,아트스틱,C000043,5,뷰티 > 네일 > 네일메이크업 > 네일아트도구 > 아트스틱
쿠팡,C000055,워터데칼/씰/네일스텐실,C000043,5,뷰티 > 네일 > 네일메이크업 > 네일아트도구 > 워터데칼/씰/네일스텐실
쿠팡,C000056,젤네일 램프,C000043,5,뷰티 > 네일 > 네일메이크업 > 네일아트도구 > 젤네일 램프
쿠팡,C000057,패디팁/패디연장,C000043,5,뷰티 > 네일 > 네일메이크업 > 네일아트도구 > 패디팁/패디연장
쿠팡,C000059,일반 네일,C000038,4,뷰티 > 네일 > 네일메이크업 > 일반 네일
쿠팡,C000058,드라이 네일,C000059,5,뷰티 > 네일 > 네일메이크업 > 일반 네일 > 드라이 네일
쿠팡,C000060,베이스코트,C000059,5,뷰티 > 네일 > 네일메이크업 > 일반 네일 > 베이스코트
쿠팡,C000061,컬러 매니큐어,C000059,5,뷰티 > 네일 > 네일메이크업 > 일반 네일 > 컬러 매니큐어
쿠팡,C000062,탑코트,C000059,5,뷰티 > 네일 > 네일메이크업 > 일반 네일 > 탑코트
쿠팡,C000064,젤 네일,C000038,4,뷰티 > 네일 > 네일메이크업 > 젤 네일
쿠팡,C000063,베이스 젤,C000064,5,뷰티 > 네일 > 네일메이크업 > 젤 네일 > 베이스 젤
쿠팡,C000065,엣지 본더,C000064,5,뷰티 > 네일 > 네일메이크업 > 젤 네일 > 엣지 본더
쿠팡,C000066,컬러 젤,C000064,5,뷰티 > 네일 > 네일메이크업 > 젤 네일 > 컬러 젤
쿠팡,C000067,탑 젤,C000064,5,뷰티 > 네일 > 네일메이크업 > 젤 네일 > 탑 젤
쿠팡,C000068,네일세트,C000039,3,뷰티 > 네일 > 네일세트
쿠팡,C000071,네일케어,C000039,3,뷰티 > 네일 > 네일케어
쿠팡,C000070,네일 케어도구,C000071,4,뷰티 > 네일 > 네일케어 > 네일 케어도구
쿠팡,C000069,니퍼,C000070,5,뷰티 > 네일 > 네일케어 > 네일 케어도구 > 니퍼
쿠팡,C000072,샌딩블럭,C000070,5,뷰티 > 네일 > 네일케어 > 네일 케어도구 > 샌딩블럭
쿠팡,C000073,우드스틱,C000070,5,뷰티 > 네일 > 네일케어 > 네일 케어도구 > 우드스틱
쿠팡,C000074,전동네일관리기,C000070,5,뷰티 > 네일 > 네일케어 > 네일 케어도구 > 전동네일관리기
쿠팡,C000075,클리퍼/손톱깎이,C000070,5,뷰티 > 네일 > 네일케어 > 네일 케어도구 > 클리퍼/손톱깎이
쿠팡,C000076,파일/버퍼,C000070,5,뷰티 > 네일 > 네일케어 > 네일 케어도구 > 파일/버퍼
쿠팡,C000077,푸셔,C000070,5,뷰티 > 네일 > 네일케어 > 네일 케어도구 > 푸셔
쿠팡,C000079,네일트리트먼트,C000071,4,뷰티 > 네일 > 네일케어 > 네일트리트먼트
쿠팡,C000078,손톱 강화,C000079,5,뷰티 > 네일 > 네일케어 > 네일트리트먼트 > 손톱 강화
쿠팡,C000081,큐티클 케어,C000071,4,뷰티 > 네일 > 네일케어 > 큐티클 케어
쿠팡,C000080,큐티클 리무버,C000081,5,뷰티 > 네일 > 네일케어 > 큐티클 케어 > 큐티클 리무버
쿠팡,C000082,큐티클 크림/오일,C000081,5,뷰티 > 네일 > 네일케어 > 큐티클 케어 > 큐티클 크림/오일
쿠팡,C000085,메이크업,C000004,2,뷰티 > 메이크업
쿠팡,C000084,립메이크업,C000085,3,뷰티 > 메이크업 > 립메이크업
쿠팡,C000083,립글로스,C000084,4,뷰티 > 메이크업 > 립메이크업 > 립글로스
쿠팡,C000086,립라이너,C000084,4,뷰티 > 메이크업 > 립메이크업 > 립라이너
쿠팡,C000087,립마커,C000084,4,뷰티 > 메이크업 > 립메이크업 > 립마커
쿠팡,C000088,립메이크업세트,C000084,4,뷰티 > 메이크업 > 립메이크업 > 립메이크업세트
쿠팡,C000089,립스틱,C000084,4,뷰티 > 메이크업 > 립메이크업 > 립스틱
쿠팡,C000090,립크레용,C000084,4,뷰티 > 메이크업 > 립메이크업 > 립크레용
쿠팡,C000091,립틴트,C000084,4,뷰티 > 메이크업 > 립메이크업 > 립틴트
쿠팡,C000092,립팔레트,C000084,4,뷰티 > 메이크업 > 립메이크업 > 립팔레트
쿠팡,C000094,멀티메이크업,C000085,3,뷰티 > 메이크업 > 멀티메이크업
쿠팡,C000093,멀티 스틱,C000094,4,뷰티 > 메이크업 > 멀티메이크업 > 멀티 스틱
쿠팡,C000095,멀티 펜슬/오토펜슬,C000094,4,뷰티 > 메이크업 > 멀티메이크업 > 멀티 펜슬/오토펜슬
쿠팡,C000096,멀티메이크업세트,C000094,4,뷰티 > 메이크업 > 멀티메이크업 > 멀티메이크업세트
쿠팡,C000097,메이크업 멀티 밤,C000094,4,뷰티 > 메이크업 > 멀티메이크업 > 메이크업 멀티 밤
쿠팡,C000098,메이크업 팔레트,C000094,4,뷰티 > 메이크업 > 멀티메이크업 > 메이크업 팔레트
쿠팡,C000100,바디메이크업,C000085,3,뷰티 > 메이크업 > 바디메이크업
쿠팡,C000099,바디 메이크업 세트,C000100,4,뷰티 > 메이크업 > 바디메이크업 > 바디 메이크업 세트
쿠팡,C000101,바디 스킨 메이크업,C000100,4,뷰티 > 메이크업 > 바디메이크업 > 바디 스킨 메이크업
쿠팡,C000102,타투/헤나용품,C000100,4,뷰티 > 메이크업 > 바디메이크업 > 타투/헤나용품
쿠팡,C000104,베이스메이크업,C000085,3,뷰티 > 메이크업 > 베이스메이크업
쿠팡,C000103,BB크림,C000104,4,뷰티 > 메이크업 > 베이스메이크업 > BB크림
쿠팡,C000105,CC크림,C000104,4,뷰티 > 메이크업 > 베이스메이크업 > CC크림
쿠팡,C000106,메이크업베이스,C000104,4,뷰티 > 메이크업 > 베이스메이크업 > 메이크업베이스
쿠팡,C000107,메이크업픽서,C000104,4,뷰티 > 메이크업 > 베이스메이크업 > 메이크업픽서
쿠팡,C000108,베이스메이크업 세트,C000104,4,뷰티 > 메이크업 > 베이스메이크업 > 베이스메이크업 세트
쿠팡,C000110,컨실러,C000104,4,뷰티 > 메이크업 > 베이스메이크업 > 컨실러
쿠팡,C000109,듀얼 컨실러,C000110,5,뷰티 > 메이크업 > 베이스메이크업 > 컨실러 > 듀얼 컨실러
쿠팡,C000111,리퀴드 컨실러,C000110,5,뷰티 > 메이크업 > 베이스메이크업 > 컨실러 > 리퀴드 컨실러
쿠팡,C000112,스틱 컨실러,C000110,5,뷰티 > 메이크업 > 베이스메이크업 > 컨실러 > 스틱 컨실러
쿠팡,C000113,튜브/크림 컨실러,C000110,5,뷰티 > 메이크업 > 베이스메이크업 > 컨실러 > 튜브/크림 컨실러
쿠팡,C000114,팔레트 컨실러,C000110,5,뷰티 > 메이크업 > 베이스메이크업 > 컨실러 > 팔레트 컨실러
쿠팡,C000115,트윈케익,C000104,4,뷰티 > 메이크업 > 베이스메이크업 > 트윈케익
쿠팡,C000117,파우더,C000104,4,뷰티 > 메이크업 > 베이스메이크업 > 파우더
쿠팡,C000116,루스파우더,C000117,5,뷰티 > 메이크업 > 베이스메이크업 > 파우더 > 루스파우더
쿠팡,C000118,팩트파우더,C000117,5,뷰티 > 메이크업 > 베이스메이크업 > 파우더 > 팩트파우더
쿠팡,C000120,파운데이션,C000104,4,뷰티 > 메이크업 > 베이스메이크업 > 파운데이션
쿠팡,C000119,리퀴드 파운데이션,C000120,5,뷰티 > 메이크업 > 베이스메이크업 > 파운데이션 > 리퀴드 파운데이션
쿠팡,C000121,스틱 파운데이션,C000120,5,뷰티 > 메이크업 > 베이스메이크업 > 파운데이션 > 스틱 파운데이션
쿠팡,C000122,쿠션 파운데이션,C000120,5,뷰티 > 메이크업 > 베이스메이크업 > 파운데이션 > 쿠션 파운데이션
쿠팡,C000123,크림 파운데이션,C000120,5,뷰티 > 메이크업 > 베이스메이크업 > 파운데이션 > 크림 파운데이션
쿠팡,C000124,파운데이션 밤/팩트,C000120,5,뷰티 > 메이크업 > 베이스메이크업 > 파운데이션 > 파운데이션 밤/팩트
쿠팡,C000125,프라이머,C000104,4,뷰티 > 메이크업 > 베이스메이크업 > 프라이머
쿠팡,C000128,아이메이크업,C000085,3,뷰티 > 메이크업 > 아이메이크업
쿠팡,C000127,마스카라,C000128,4,뷰티 > 메이크업 > 아이메이크업 > 마스카라
쿠팡,C000126,듀얼 마스카라,C000127,5,뷰티 > 메이크업 > 아이메이크업 > 마스카라 > 듀얼 마스카라
쿠팡,C000129,마스카라,C000127,5,뷰티 > 메이크업 > 아이메이크업 > 마스카라 > 마스카라
쿠팡,C000130,마스카라 베이스,C000127,5,뷰티 > 메이크업 > 아이메이크업 > 마스카라 > 마스카라 베이스
쿠팡,C000131,마스카라 탑,C000127,5,뷰티 > 메이크업 > 아이메이크업 > 마스카라 > 마스카라 탑
쿠팡,C000132,속눈썹/눈썹 영양제,C000127,5,뷰티 > 메이크업 > 아이메이크업 > 마스카라 > 속눈썹/눈썹 영양제
쿠팡,C000134,아이라이너,C000128,4,뷰티 > 메이크업 > 아이메이크업 > 아이라이너
쿠팡,C000133,리퀴드/펜 라이너,C000134,5,뷰티 > 메이크업 > 아이메이크업 > 아이라이너 > 리퀴드/펜 라이너
쿠팡,C000135,오토펜슬 라이너,C000134,5,뷰티 > 메이크업 > 아이메이크업 > 아이라이너 > 오토펜슬 라이너
쿠팡,C000136,젤/크림 라이너,C000134,5,뷰티 > 메이크업 > 아이메이크업 > 아이라이너 > 젤/크림 라이너
쿠팡,C000137,펜슬 라이너,C000134,5,뷰티 > 메이크업 > 아이메이크업 > 아이라이너 > 펜슬 라이너
쿠팡,C000138,아이메이크업세트,C000128,4,뷰티 > 메이크업 > 아이메이크업 > 아이메이크업세트
쿠팡,C000140,아이브로우,C000128,4,뷰티 > 메이크업 > 아이메이크업 > 아이브로우
쿠팡,C000139,아이브로우 섀도,C000140,5,뷰티 > 메이크업 > 아이메이크업 > 아이브로우 > 아이브로우 섀도
쿠팡,C000141,아이브로우 오토펜슬,C000140,5,뷰티 > 메이크업 > 아이메이크업 > 아이브로우 > 아이브로우 오토펜슬
쿠팡,C000142,아이브로우 카라,C000140,5,뷰티 > 메이크업 > 아이메이크업 > 아이브로우 > 아이브로우 카라
쿠팡,C000143,아이브로우 틴트,C000140,5,뷰티 > 메이크업 > 아이메이크업 > 아이브로우 > 아이브로우 틴트
쿠팡,C000144,아이브로우 펜슬,C000140,5,뷰티 > 메이크업 > 아이메이크업 > 아이브로우 > 아이브로우 펜슬
쿠팡,C000146,아이섀도,C000128,4,뷰티 > 메이크업 > 아이메이크업 > 아이섀도
쿠팡,C000145,리퀴드 아이섀도,C000146,5,뷰티 > 메이크업 > 아이메이크업 > 아이섀도 > 리퀴드 아이섀도
쿠팡,C000147,스틱/펜슬 아이섀도,C000146,5,뷰티 > 메이크업 > 아이메이크업 > 아이섀도 > 스틱/펜슬 아이섀도
쿠팡,C000148,크림/젤리/쿠션 아이섀도,C000146,5,뷰티 > 메이크업 > 아이메이크업 > 아이섀도 > 크림/젤리/쿠션 아이섀도
쿠팡,C000149,팩트 아이섀도,C000146,5,뷰티 > 메이크업 > 아이메이크업 > 아이섀도 > 팩트 아이섀도
쿠팡,C000150,피그먼트/파우더(가루) 아이섀도,C000146,5,뷰티 > 메이크업 > 아이메이크업 > 아이섀도 > 피그먼트/파우더(가루) 아이섀도
쿠팡,C000151,아이팔레트,C000128,4,뷰티 > 메이크업 > 아이메이크업 > 아이팔레트
쿠팡,C000154,치크메이크업,C000085,3,뷰티 > 메이크업 > 치크메이크업
쿠팡,C000153,블러셔,C000154,4,뷰티 > 메이크업 > 치크메이크업 > 블러셔
쿠팡,C000152,가루 블러셔,C000153,5,뷰티 > 메이크업 > 치크메이크업 > 블러셔 > 가루 블러셔
쿠팡,C000155,스틱 블러셔,C000153,5,뷰티 > 메이크업 > 치크메이크업 > 블러셔 > 스틱 블러셔
쿠팡,C000156,쿠션 블러셔,C000153,5,뷰티 > 메이크업 > 치크메이크업 > 블러셔 > 쿠션 블러셔
쿠팡,C000157,크림 블러셔,C000153,5,뷰티 > 메이크업 > 치크메이크업 > 블러셔 > 크림 블러셔
쿠팡,C000158,팩트 블러셔,C000153,5,뷰티 > 메이크업 > 치크메이크업 > 블러셔 > 팩트 블러셔
쿠팡,C000160,셰이딩,C000154,4,뷰티 > 메이크업 > 치크메이크업 > 셰이딩
쿠팡,C000159,가루 셰이딩,C000160,5,뷰티 > 메이크업 > 치크메이크업 > 셰이딩 > 가루 셰이딩
쿠팡,C000161,스틱 셰이딩,C000160,5,뷰티 > 메이크업 > 치크메이크업 > 셰이딩 > 스틱 셰이딩
쿠팡,C000162,쿠션 셰이딩,C000160,5,뷰티 > 메이크업 > 치크메이크업 > 셰이딩 > 쿠션 셰이딩
쿠팡,C000163,크림 셰이딩,C000160,5,뷰티 > 메이크업 > 치크메이크업 > 셰이딩 > 크림 셰이딩
쿠팡,C000164,팩트 셰이딩,C000160,5,뷰티 > 메이크업 > 치크메이크업 > 셰이딩 > 팩트 셰이딩
쿠팡,C000165,치크메이크업 세트,C000154,4,뷰티 > 메이크업 > 치크메이크업 > 치크메이크업 세트
쿠팡,C000167,하이라이터,C000154,4,뷰티 > 메이크업 > 치크메이크업 > 하이라이터
쿠팡,C000166,가루 하이라이터,C000167,5,뷰티 > 메이크업 > 치크메이크업 > 하이라이터 > 가루 하이라이터
쿠팡,C000168,스틱 하이라이터,C000167,5,뷰티 > 메이크업 > 치크메이크업 > 하이라이터 > 스틱 하이라이터
쿠팡,C000169,쿠션 하이라이터,C000167,5,뷰티 > 메이크업 > 치크메이크업 > 하이라이터 > 쿠션 하이라이터
쿠팡,C000170,크림 하이라이터,C000167,5,뷰티 > 메이크업 > 치크메이크업 > 하이라이터 > 크림 하이라이터
쿠팡,C000171,팩트 하이라이터,C000167,5,뷰티 > 메이크업 > 치크메이크업 > 하이라이터 > 팩트 하이라이터
쿠팡,C000174,바디,C000004,2,뷰티 > 바디
쿠팡,C000173,겨드랑이관리,C000174,3,뷰티 > 바디 > 겨드랑이관리
쿠팡,C000172,겨드랑이패치,C000173,4,뷰티 > 바디 > 겨드랑이관리 > 겨드랑이패치
쿠팡,C000175,남성 데오드란트,C000173,4,뷰티 > 바디 > 겨드랑이관리 > 남성 데오드란트
쿠팡,C000177,여성 데오드란트,C000173,4,뷰티 > 바디 > 겨드랑이관리 > 여성 데오드란트
쿠팡,C000176,롤온타입데오,C000177,5,뷰티 > 바디 > 겨드랑이관리 > 여성 데오드란트 > 롤온타입데오
쿠팡,C000178,스틱타입데오,C000177,5,뷰티 > 바디 > 겨드랑이관리 > 여성 데오드란트 > 스틱타입데오
쿠팡,C000179,스프레이타입데오,C000177,5,뷰티 > 바디 > 겨드랑이관리 > 여성 데오드란트 > 스프레이타입데오
쿠팡,C000180,크림타입데오,C000177,5,뷰티 > 바디 > 겨드랑이관리 > 여성 데오드란트 > 크림타입데오
쿠팡,C000181,티슈타입데오,C000177,5,뷰티 > 바디 > 겨드랑이관리 > 여성 데오드란트 > 티슈타입데오
쿠팡,C000182,파우더타입데오,C000177,5,뷰티 > 바디 > 겨드랑이관리 > 여성 데오드란트 > 파우더타입데오
쿠팡,C000184,몸매관리/패치,C000174,3,뷰티 > 바디 > 몸매관리/패치
쿠팡,C000183,남성 니플밴드,C000184,4,뷰티 > 바디 > 몸매관리/패치 > 남성 니플밴드
쿠팡,C000185,몸매관리화장품,C000184,4,뷰티 > 바디 > 몸매관리/패치 > 몸매관리화장품
쿠팡,C000186,바디패치,C000184,4,뷰티 > 바디 > 몸매관리/패치 > 바디패치
쿠팡,C000187,여성 니플밴드,C000184,4,뷰티 > 바디 > 몸매관리/패치 > 여성 니플밴드
쿠팡,C000189,바디케어,C000174,3,뷰티 > 바디 > 바디케어
쿠팡,C000188,바디로션,C000189,4,뷰티 > 바디 > 바디케어 > 바디로션
쿠팡,C000190,바디미스트,C000189,4,뷰티 > 바디 > 바디케어 > 바디미스트
쿠팡,C000191,바디버터,C000189,4,뷰티 > 바디 > 바디케어 > 바디버터
쿠팡,C000192,바디오일,C000189,4,뷰티 > 바디 > 바디케어 > 바디오일
쿠팡,C000193,바디크림,C000189,4,뷰티 > 바디 > 바디케어 > 바디크림
쿠팡,C000194,바디파우더,C000189,4,뷰티 > 바디 > 바디케어 > 바디파우더
쿠팡,C000195,샤워코롱,C000189,4,뷰티 > 바디 > 바디케어 > 샤워코롱
쿠팡,C000196,아로마오일,C000189,4,뷰티 > 바디 > 바디케어 > 아로마오일
쿠팡,C000198,바디케어세트,C000174,3,뷰티 > 바디 > 바디케어세트
쿠팡,C000197,바디세트,C000198,4,뷰티 > 바디 > 바디케어세트 > 바디세트
쿠팡,C000199,핸드케어 세트,C000198,4,뷰티 > 바디 > 바디케어세트 > 핸드케어 세트
쿠팡,C000201,샤워/입욕용품,C000174,3,뷰티 > 바디 > 샤워/입욕용품
쿠팡,C000200,목욕비누,C000201,4,뷰티 > 바디 > 샤워/입욕용품 > 목욕비누
쿠팡,C000202,바디스크럽,C000201,4,뷰티 > 바디 > 샤워/입욕용품 > 바디스크럽
쿠팡,C000203,바디워시,C000201,4,뷰티 > 바디 > 샤워/입욕용품 > 바디워시
쿠팡,C000205,입욕제,C000201,4,뷰티 > 바디 > 샤워/입욕용품 > 입욕제
