Cat_ID,Cat_Name,Parent_ID,Level,Full_Path
STD_000003,PC주변기기,ROOT,1,PC주변기기
STD_000002,ODD,STD_000003,2,PC주변기기 > ODD
STD_000001,CD-ROM/RW,STD_000002,3,PC주변기기 > ODD > CD-ROM/RW
STD_000004,DVD-ROM/RW,STD_000002,3,PC주변기기 > ODD > DVD-ROM/RW
STD_000005,블루레이드라이브,STD_000002,3,PC주변기기 > ODD > 블루레이드라이브
STD_000007,PC부품,STD_000003,2,PC주변기기 > PC부품
STD_000006,CPU,STD_000007,3,PC주변기기 > PC부품 > CPU
STD_000008,PC케이스,STD_000007,3,PC주변기기 > PC부품 > PC케이스
STD_000009,RAM,STD_000007,3,PC주변기기 > PC부품 > RAM
STD_000010,그래픽카드,STD_000007,3,PC주변기기 > PC부품 > 그래픽카드
STD_000011,기타PC부품,STD_000007,3,PC주변기기 > PC부품 > 기타PC부품
STD_000012,메인보드,STD_000007,3,PC주변기기 > PC부품 > 메인보드
STD_000013,쿨러,STD_000007,3,PC주변기기 > PC부품 > 쿨러
STD_000014,파워서플라이,STD_000007,3,PC주변기기 > PC부품 > 파워서플라이
STD_000016,PC영상/음향기기,STD_000003,2,PC주변기기 > PC영상/음향기기
STD_000015,PC마이크,STD_000016,3,PC주변기기 > PC영상/음향기기 > PC마이크
STD_000017,PC스피커,STD_000016,3,PC주변기기 > PC영상/음향기기 > PC스피커
STD_000018,PC카메라,STD_000016,3,PC주변기기 > PC영상/음향기기 > PC카메라
STD_000019,PC헤드셋,STD_000016,3,PC주변기기 > PC영상/음향기기 > PC헤드셋
STD_000020,TV수신카드,STD_000016,3,PC주변기기 > PC영상/음향기기 > TV수신카드
STD_000021,사운드카드,STD_000016,3,PC주변기기 > PC영상/음향기기 > 사운드카드
STD_000022,영상편집카드,STD_000016,3,PC주변기기 > PC영상/음향기기 > 영상편집카드
STD_000023,PC주변용품,STD_000003,2,PC주변기기 > PC주변용품
STD_000024,PC받침대,STD_000023,3,PC주변기기 > PC주변용품 > PC받침대
STD_000025,PC청소용품,STD_000023,3,PC주변기기 > PC주변용품 > PC청소용품
STD_000026,USB라이트,STD_000023,3,PC주변기기 > PC주변용품 > USB라이트
STD_000027,기타PC주변용품,STD_000023,3,PC주변기기 > PC주변용품 > 기타PC주변용품
STD_000028,마우스패드,STD_000023,3,PC주변기기 > PC주변용품 > 마우스패드
STD_000029,케이블정리용품,STD_000023,3,PC주변기기 > PC주변용품 > 케이블정리용품
STD_000031,네트워크장비,STD_000003,2,PC주변기기 > 네트워크장비
STD_000030,AP,STD_000031,3,PC주변기기 > 네트워크장비 > AP
STD_000032,KVM스위치,STD_000031,3,PC주변기기 > 네트워크장비 > KVM스위치
STD_000033,USB동글,STD_000031,3,PC주변기기 > 네트워크장비 > USB동글
STD_000034,USB허브,STD_000031,3,PC주변기기 > 네트워크장비 > USB허브
STD_000035,공유기,STD_000031,3,PC주변기기 > 네트워크장비 > 공유기
STD_000036,기타네트워크장비,STD_000031,3,PC주변기기 > 네트워크장비 > 기타네트워크장비
STD_000037,랜카드,STD_000031,3,PC주변기기 > 네트워크장비 > 랜카드
STD_000038,랜툴,STD_000031,3,PC주변기기 > 네트워크장비 > 랜툴
STD_000039,리피터,STD_000031,3,PC주변기기 > 네트워크장비 > 리피터
STD_000040,미라캐스트,STD_000031,3,PC주변기기 > 네트워크장비 > 미라캐스트
STD_000041,분배기/선택기,STD_000031,3,PC주변기기 > 네트워크장비 > 분배기/선택기
STD_000042,스위칭허브,STD_000031,3,PC주변기기 > 네트워크장비 > 스위칭허브
STD_000043,안테나,STD_000031,3,PC주변기기 > 네트워크장비 > 안테나
STD_000044,컨버터장비,STD_000031,3,PC주변기기 > 네트워크장비 > 컨버터장비
STD_000045,프린터공유기,STD_000031,3,PC주변기기 > 네트워크장비 > 프린터공유기
STD_000046,데이터/통신케이블,STD_000003,2,PC주변기기 > 데이터/통신케이블
STD_000047,IEEE1394케이블,STD_000046,3,PC주변기기 > 데이터/통신케이블 > IEEE1394케이블
STD_000048,KVM케이블,STD_000046,3,PC주변기기 > 데이터/통신케이블 > KVM케이블
STD_000049,LAN케이블,STD_000046,3,PC주변기기 > 데이터/통신케이블 > LAN케이블
STD_000050,PS2케이블,STD_000046,3,PC주변기기 > 데이터/통신케이블 > PS2케이블
STD_000051,SATA케이블,STD_000046,3,PC주변기기 > 데이터/통신케이블 > SATA케이블
STD_000052,USB케이블,STD_000046,3,PC주변기기 > 데이터/통신케이블 > USB케이블
STD_000053,광점퍼코드케이블,STD_000046,3,PC주변기기 > 데이터/통신케이블 > 광점퍼코드케이블
STD_000054,기타데이터/통신케이블,STD_000046,3,PC주변기기 > 데이터/통신케이블 > 기타데이터/통신케이블
STD_000055,라이트닝케이블,STD_000046,3,PC주변기기 > 데이터/통신케이블 > 라이트닝케이블
STD_000056,시리얼/패러럴,STD_000046,3,PC주변기기 > 데이터/통신케이블 > 시리얼/패러럴
STD_000058,변환/전원케이블,STD_000003,2,PC주변기기 > 변환/전원케이블
STD_000057,기타변환/전원케이블,STD_000058,3,PC주변기기 > 변환/전원케이블 > 기타변환/전원케이블
STD_000059,전원케이블,STD_000058,3,PC주변기기 > 변환/전원케이블 > 전원케이블
STD_000060,젠더/컨버터케이블,STD_000058,3,PC주변기기 > 변환/전원케이블 > 젠더/컨버터케이블
STD_000062,소프트웨어,STD_000003,2,PC주변기기 > 소프트웨어
STD_000061,그래픽/멀티미디어,STD_000062,3,PC주변기기 > 소프트웨어 > 그래픽/멀티미디어
STD_000063,기타소프트웨어,STD_000062,3,PC주변기기 > 소프트웨어 > 기타소프트웨어
STD_000064,보안/백신/복구,STD_000062,3,PC주변기기 > 소프트웨어 > 보안/백신/복구
STD_000065,오피스,STD_000062,3,PC주변기기 > 소프트웨어 > 오피스
STD_000066,운영체제,STD_000062,3,PC주변기기 > 소프트웨어 > 운영체제
STD_000068,영상/음향케이블,STD_000003,2,PC주변기기 > 영상/음향케이블
STD_000067,AUX케이블,STD_000068,3,PC주변기기 > 영상/음향케이블 > AUX케이블
STD_000069,BNC케이블,STD_000068,3,PC주변기기 > 영상/음향케이블 > BNC케이블
STD_000070,DVI케이블,STD_000068,3,PC주변기기 > 영상/음향케이블 > DVI케이블
STD_000071,HDMI케이블,STD_000068,3,PC주변기기 > 영상/음향케이블 > HDMI케이블
STD_000072,RCA케이블,STD_000068,3,PC주변기기 > 영상/음향케이블 > RCA케이블
STD_000073,RGB케이블,STD_000068,3,PC주변기기 > 영상/음향케이블 > RGB케이블
STD_000074,S-VHS/S-Video,STD_000068,3,PC주변기기 > 영상/음향케이블 > S-VHS/S-Video
STD_000075,광케이블,STD_000068,3,PC주변기기 > 영상/음향케이블 > 광케이블
STD_000076,기타영상/음향케이블,STD_000068,3,PC주변기기 > 영상/음향케이블 > 기타영상/음향케이블
STD_000077,동축케이블,STD_000068,3,PC주변기기 > 영상/음향케이블 > 동축케이블
STD_000078,컴포넌트케이블,STD_000068,3,PC주변기기 > 영상/음향케이블 > 컴포넌트케이블
STD_000080,중고매입서비스,STD_000003,2,PC주변기기 > 중고매입서비스
STD_000079,PC본체,STD_000080,3,PC주변기기 > 중고매입서비스 > PC본체
STD_000081,PC부품,STD_000080,3,PC주변기기 > 중고매입서비스 > PC부품
STD_000082,노트북,STD_000080,3,PC주변기기 > 중고매입서비스 > 노트북
STD_000083,모니터,STD_000080,3,PC주변기기 > 중고매입서비스 > 모니터
STD_000085,키보드/마우스 주변기기,STD_000003,2,PC주변기기 > 키보드/마우스 주변기기
STD_000084,기타PC입력장치,STD_000085,3,PC주변기기 > 키보드/마우스 주변기기 > 기타PC입력장치
STD_000086,마우스,STD_000085,3,PC주변기기 > 키보드/마우스 주변기기 > 마우스
STD_000087,키보드,STD_000085,3,PC주변기기 > 키보드/마우스 주변기기 > 키보드
STD_000088,키보드/마우스세트,STD_000085,3,PC주변기기 > 키보드/마우스 주변기기 > 키보드/마우스세트
STD_000089,키보드스킨,STD_000085,3,PC주변기기 > 키보드/마우스 주변기기 > 키보드스킨
STD_000090,키보드키캡,STD_000085,3,PC주변기기 > 키보드/마우스 주변기기 > 키보드키캡
STD_000091,키패드,STD_000085,3,PC주변기기 > 키보드/마우스 주변기기 > 키패드
STD_000092,타블렛,STD_000085,3,PC주변기기 > 키보드/마우스 주변기기 > 타블렛
