Keyword_ID,Search_Keyword,Target_Cat_ID,Mapping_Type,Priority,Mapping_Result
KW_0000001,CDROMRW,STD_000001,EX(완전일치),1,PC주변기기 > ODD > CD-ROM/RW
KW_0000002,CDROM,STD_000001,SY(병렬속성분리),2,PC주변기기 > ODD > CD-ROM/RW
KW_0000003,RW,STD_000001,SY(병렬속성분리),2,PC주변기기 > ODD > CD-ROM/RW
KW_0000004,ODD CDROM,STD_000001,IN(문맥추론-부모결합),4,PC주변기기 > ODD > CD-ROM/RW
KW_0000005,ODDCDROM,STD_000001,IN(문맥추론-부모결합),4,PC주변기기 > ODD > CD-ROM/RW
KW_0000006,PC주변기기 CDROM,STD_000001,IN(문맥추론-조부모결합),5,PC주변기기 > ODD > CD-ROM/RW
KW_0000007,ODD,STD_000001,AB(확대범주),6,PC주변기기 > ODD > CD-ROM/RW
KW_0000008,DVDROMRW,STD_000004,EX(완전일치),1,PC주변기기 > ODD > DVD-ROM/RW
KW_0000009,DVDROM,STD_000004,SY(병렬속성분리),2,PC주변기기 > ODD > DVD-ROM/RW
KW_0000010,RW,STD_000004,SY(병렬속성분리),2,PC주변기기 > ODD > DVD-ROM/RW
KW_0000011,ODD DVDROM,STD_000004,IN(문맥추론-부모결합),4,PC주변기기 > ODD > DVD-ROM/RW
KW_0000012,ODDDVDROM,STD_000004,IN(문맥추론-부모결합),4,PC주변기기 > ODD > DVD-ROM/RW
KW_0000013,PC주변기기 DVDROM,STD_000004,IN(문맥추론-조부모결합),5,PC주변기기 > ODD > DVD-ROM/RW
KW_0000014,ODD,STD_000004,AB(확대범주),6,PC주변기기 > ODD > DVD-ROM/RW
KW_0000015,블루레이드라이브,STD_000005,EX(완전일치),1,PC주변기기 > ODD > 블루레이드라이브
KW_0000016,ODD 블루레이드라이브,STD_000005,IN(문맥추론-부모결합),4,PC주변기기 > ODD > 블루레이드라이브
KW_0000017,ODD블루레이드라이브,STD_000005,IN(문맥추론-부모결합),4,PC주변기기 > ODD > 블루레이드라이브
KW_0000018,PC주변기기 블루레이드라이브,STD_000005,IN(문맥추론-조부모결합),5,PC주변기기 > ODD > 블루레이드라이브
KW_0000019,ODD,STD_000005,AB(확대범주),6,PC주변기기 > ODD > 블루레이드라이브
KW_0000020,CPU,STD_000006,EX(완전일치),1,PC주변기기 > PC부품 > CPU
KW_0000021,PC부품 CPU,STD_000006,IN(문맥추론-부모결합),4,PC주변기기 > PC부품 > CPU
KW_0000022,PC부품CPU,STD_000006,IN(문맥추론-부모결합),4,PC주변기기 > PC부품 > CPU
KW_0000023,PC주변기기 CPU,STD_000006,IN(문맥추론-조부모결합),5,PC주변기기 > PC부품 > CPU
KW_0000024,PC부품,STD_000006,AB(확대범주),6,PC주변기기 > PC부품 > CPU
KW_0000025,PC케이스,STD_000008,EX(완전일치),1,PC주변기기 > PC부품 > PC케이스
KW_0000026,PC부품 PC케이스,STD_000008,IN(문맥추론-부모결합),4,PC주변기기 > PC부품 > PC케이스
KW_0000027,PC부품PC케이스,STD_000008,IN(문맥추론-부모결합),4,PC주변기기 > PC부품 > PC케이스
KW_0000028,PC주변기기 PC케이스,STD_000008,IN(문맥추론-조부모결합),5,PC주변기기 > PC부품 > PC케이스
KW_0000029,PC부품,STD_000008,AB(확대범주),6,PC주변기기 > PC부품 > PC케이스
KW_0000030,RAM,STD_000009,EX(완전일치),1,PC주변기기 > PC부품 > RAM
KW_0000031,PC부품 RAM,STD_000009,IN(문맥추론-부모결합),4,PC주변기기 > PC부품 > RAM
KW_0000032,PC부품RAM,STD_000009,IN(문맥추론-부모결합),4,PC주변기기 > PC부품 > RAM
KW_0000033,PC주변기기 RAM,STD_000009,IN(문맥추론-조부모결합),5,PC주변기기 > PC부품 > RAM
KW_0000034,PC부품,STD_000009,AB(확대범주),6,PC주변기기 > PC부품 > RAM
KW_0000035,그래픽카드,STD_000010,EX(완전일치),1,PC주변기기 > PC부품 > 그래픽카드
KW_0000036,PC부품 그래픽카드,STD_000010,IN(문맥추론-부모결합),4,PC주변기기 > PC부품 > 그래픽카드
KW_0000037,PC부품그래픽카드,STD_000010,IN(문맥추론-부모결합),4,PC주변기기 > PC부품 > 그래픽카드
KW_0000038,PC주변기기 그래픽카드,STD_000010,IN(문맥추론-조부모결합),5,PC주변기기 > PC부품 > 그래픽카드
KW_0000039,PC부품,STD_000010,AB(확대범주),6,PC주변기기 > PC부품 > 그래픽카드
KW_0000040,기타PC부품,STD_000011,EX(완전일치),1,PC주변기기 > PC부품 > 기타PC부품
KW_0000041,PC부품 기타PC부품,STD_000011,IN(문맥추론-부모결합),4,PC주변기기 > PC부품 > 기타PC부품
KW_0000042,PC부품기타PC부품,STD_000011,IN(문맥추론-부모결합),4,PC주변기기 > PC부품 > 기타PC부품
KW_0000043,PC주변기기 기타PC부품,STD_000011,IN(문맥추론-조부모결합),5,PC주변기기 > PC부품 > 기타PC부품
KW_0000044,PC부품,STD_000011,AB(확대범주),6,PC주변기기 > PC부품 > 기타PC부품
KW_0000045,메인보드,STD_000012,EX(완전일치),1,PC주변기기 > PC부품 > 메인보드
KW_0000046,PC부품 메인보드,STD_000012,IN(문맥추론-부모결합),4,PC주변기기 > PC부품 > 메인보드
KW_0000047,PC부품메인보드,STD_000012,IN(문맥추론-부모결합),4,PC주변기기 > PC부품 > 메인보드
KW_0000048,PC주변기기 메인보드,STD_000012,IN(문맥추론-조부모결합),5,PC주변기기 > PC부품 > 메인보드
KW_0000049,PC부품,STD_000012,AB(확대범주),6,PC주변기기 > PC부품 > 메인보드
KW_0000050,쿨러,STD_000013,EX(완전일치),1,PC주변기기 > PC부품 > 쿨러
KW_0000051,PC부품 쿨러,STD_000013,IN(문맥추론-부모결합),4,PC주변기기 > PC부품 > 쿨러
KW_0000052,PC부품쿨러,STD_000013,IN(문맥추론-부모결합),4,PC주변기기 > PC부품 > 쿨러
KW_0000053,PC주변기기 쿨러,STD_000013,IN(문맥추론-조부모결합),5,PC주변기기 > PC부품 > 쿨러
KW_0000054,PC부품,STD_000013,AB(확대범주),6,PC주변기기 > PC부품 > 쿨러
KW_0000055,파워서플라이,STD_000014,EX(완전일치),1,PC주변기기 > PC부품 > 파워서플라이
KW_0000056,PC부품 파워서플라이,STD_000014,IN(문맥추론-부모결합),4,PC주변기기 > PC부품 > 파워서플라이
KW_0000057,PC부품파워서플라이,STD_000014,IN(문맥추론-부모결합),4,PC주변기기 > PC부품 > 파워서플라이
KW_0000058,PC주변기기 파워서플라이,STD_000014,IN(문맥추론-조부모결합),5,PC주변기기 > PC부품 > 파워서플라이
KW_0000059,PC부품,STD_000014,AB(확대범주),6,PC주변기기 > PC부품 > 파워서플라이
KW_0000060,PC마이크,STD_000015,EX(완전일치),1,PC주변기기 > PC영상/음향기기 > PC마이크
KW_0000061,PC영상 PC마이크,STD_000015,IN(문맥추론-부모결합),4,PC주변기기 > PC영상/음향기기 > PC마이크
KW_0000062,PC영상PC마이크,STD_000015,IN(문맥추론-부모결합),4,PC주변기기 > PC영상/음향기기 > PC마이크
KW_0000063,PC주변기기 PC마이크,STD_000015,IN(문맥추론-조부모결합),5,PC주변기기 > PC영상/음향기기 > PC마이크
KW_0000064,PC영상,STD_000015,AB(확대범주),6,PC주변기기 > PC영상/음향기기 > PC마이크
KW_0000065,음향기기,STD_000015,AB(확대범주),6,PC주변기기 > PC영상/음향기기 > PC마이크
KW_0000066,PC스피커,STD_000017,EX(완전일치),1,PC주변기기 > PC영상/음향기기 > PC스피커
KW_0000067,PC영상 PC스피커,STD_000017,IN(문맥추론-부모결합),4,PC주변기기 > PC영상/음향기기 > PC스피커
KW_0000068,PC영상PC스피커,STD_000017,IN(문맥추론-부모결합),4,PC주변기기 > PC영상/음향기기 > PC스피커
KW_0000069,PC주변기기 PC스피커,STD_000017,IN(문맥추론-조부모결합),5,PC주변기기 > PC영상/음향기기 > PC스피커
KW_0000070,PC영상,STD_000017,AB(확대범주),6,PC주변기기 > PC영상/음향기기 > PC스피커
KW_0000071,음향기기,STD_000017,AB(확대범주),6,PC주변기기 > PC영상/음향기기 > PC스피커
KW_0000072,PC카메라,STD_000018,EX(완전일치),1,PC주변기기 > PC영상/음향기기 > PC카메라
