Keyword_ID,Search_Keyword,Target_Cat_ID,Mapping_Type,Priority,Market,Mapping_Result
K0000001,남성 기타 베이스메이크업,C000001,EX(완전일치),1,쿠팡,뷰티 > 남성화장품 > 남성메이크업 > 남성 기타 베이스메이크업
K0000002,남성,C000001,MO(형태소분리),3,쿠팡,뷰티 > 남성화장품 > 남성메이크업 > 남성 기타 베이스메이크업
K0000003,베이스메이크업,C000001,MO(형태소분리),3,쿠팡,뷰티 > 남성화장품 > 남성메이크업 > 남성 기타 베이스메이크업
K0000004,남성 아이브로우,C000005,EX(완전일치),1,쿠팡,뷰티 > 남성화장품 > 남성메이크업 > 남성 아이브로우
K0000005,남성,C000005,MO(형태소분리),3,쿠팡,뷰티 > 남성화장품 > 남성메이크업 > 남성 아이브로우
K0000006,아이브로우,C000005,MO(형태소분리),3,쿠팡,뷰티 > 남성화장품 > 남성메이크업 > 남성 아이브로우
K0000007,남성 위장크림,C000006,EX(완전일치),1,쿠팡,뷰티 > 남성화장품 > 남성메이크업 > 남성 위장크림
K0000008,남성,C000006,MO(형태소분리),3,쿠팡,뷰티 > 남성화장품 > 남성메이크업 > 남성 위장크림
K0000009,위장크림,C000006,MO(형태소분리),3,쿠팡,뷰티 > 남성화장품 > 남성메이크업 > 남성 위장크림
K0000010,남성 파운데이션/쿠션,C000007,EX(완전일치),1,쿠팡,뷰티 > 남성화장품 > 남성메이크업 > 남성 파운데이션/쿠션
K0000011,남성 파운데이션,C000007,SY(유의어분리),2,쿠팡,뷰티 > 남성화장품 > 남성메이크업 > 남성 파운데이션/쿠션
K0000012,쿠션,C000007,SY(유의어분리),2,쿠팡,뷰티 > 남성화장품 > 남성메이크업 > 남성 파운데이션/쿠션
K0000013,남성,C000007,MO(형태소분리),3,쿠팡,뷰티 > 남성화장품 > 남성메이크업 > 남성 파운데이션/쿠션
K0000014,파운데이션/쿠션,C000007,MO(형태소분리),3,쿠팡,뷰티 > 남성화장품 > 남성메이크업 > 남성 파운데이션/쿠션
K0000015,남성 팩트/파우더,C000008,EX(완전일치),1,쿠팡,뷰티 > 남성화장품 > 남성메이크업 > 남성 팩트/파우더
K0000016,남성 팩트,C000008,SY(유의어분리),2,쿠팡,뷰티 > 남성화장품 > 남성메이크업 > 남성 팩트/파우더
K0000017,파우더,C000008,SY(유의어분리),2,쿠팡,뷰티 > 남성화장품 > 남성메이크업 > 남성 팩트/파우더
K0000018,남성,C000008,MO(형태소분리),3,쿠팡,뷰티 > 남성화장품 > 남성메이크업 > 남성 팩트/파우더
K0000019,팩트/파우더,C000008,MO(형태소분리),3,쿠팡,뷰티 > 남성화장품 > 남성메이크업 > 남성 팩트/파우더
K0000020,남성BB/CC크림,C000009,EX(완전일치),1,쿠팡,뷰티 > 남성화장품 > 남성메이크업 > 남성BB/CC크림
K0000021,남성BB,C000009,SY(유의어분리),2,쿠팡,뷰티 > 남성화장품 > 남성메이크업 > 남성BB/CC크림
K0000022,CC크림,C000009,SY(유의어분리),2,쿠팡,뷰티 > 남성화장품 > 남성메이크업 > 남성BB/CC크림
K0000023,스크럽,C000010,EX(완전일치),1,쿠팡,뷰티 > 남성화장품 > 남성스킨케어 > 각질케어 > 스크럽
K0000024,필링,C000013,EX(완전일치),1,쿠팡,뷰티 > 남성화장품 > 남성스킨케어 > 각질케어 > 필링
K0000025,남성 로션/에멀젼,C000014,EX(완전일치),1,쿠팡,뷰티 > 남성화장품 > 남성스킨케어 > 남성 로션/에멀젼
K0000026,남성 로션,C000014,SY(유의어분리),2,쿠팡,뷰티 > 남성화장품 > 남성스킨케어 > 남성 로션/에멀젼
K0000027,에멀젼,C000014,SY(유의어분리),2,쿠팡,뷰티 > 남성화장품 > 남성스킨케어 > 남성 로션/에멀젼
K0000028,남성,C000014,MO(형태소분리),3,쿠팡,뷰티 > 남성화장품 > 남성스킨케어 > 남성 로션/에멀젼
K0000029,로션/에멀젼,C000014,MO(형태소분리),3,쿠팡,뷰티 > 남성화장품 > 남성스킨케어 > 남성 로션/에멀젼
K0000030,남성 립밤,C000015,EX(완전일치),1,쿠팡,뷰티 > 남성화장품 > 남성스킨케어 > 남성 립밤
K0000031,남성,C000015,MO(형태소분리),3,쿠팡,뷰티 > 남성화장품 > 남성스킨케어 > 남성 립밤
K0000032,립밤,C000015,MO(형태소분리),3,쿠팡,뷰티 > 남성화장품 > 남성스킨케어 > 남성 립밤
K0000033,남성 마스크팩,C000016,EX(완전일치),1,쿠팡,뷰티 > 남성화장품 > 남성스킨케어 > 남성 마스크팩
K0000034,남성,C000016,MO(형태소분리),3,쿠팡,뷰티 > 남성화장품 > 남성스킨케어 > 남성 마스크팩
K0000035,마스크팩,C000016,MO(형태소분리),3,쿠팡,뷰티 > 남성화장품 > 남성스킨케어 > 남성 마스크팩
K0000036,남성 스킨/토너,C000017,EX(완전일치),1,쿠팡,뷰티 > 남성화장품 > 남성스킨케어 > 남성 스킨/토너
K0000037,남성 스킨,C000017,SY(유의어분리),2,쿠팡,뷰티 > 남성화장품 > 남성스킨케어 > 남성 스킨/토너
K0000038,토너,C000017,SY(유의어분리),2,쿠팡,뷰티 > 남성화장품 > 남성스킨케어 > 남성 스킨/토너
K0000039,남성,C000017,MO(형태소분리),3,쿠팡,뷰티 > 남성화장품 > 남성스킨케어 > 남성 스킨/토너
K0000040,스킨/토너,C000017,MO(형태소분리),3,쿠팡,뷰티 > 남성화장품 > 남성스킨케어 > 남성 스킨/토너
K0000041,남성 슬리핑/젤타입 팩,C000018,EX(완전일치),1,쿠팡,뷰티 > 남성화장품 > 남성스킨케어 > 남성 슬리핑/젤타입 팩
K0000042,남성 슬리핑,C000018,SY(유의어분리),2,쿠팡,뷰티 > 남성화장품 > 남성스킨케어 > 남성 슬리핑/젤타입 팩
K0000043,젤타입 팩,C000018,SY(유의어분리),2,쿠팡,뷰티 > 남성화장품 > 남성스킨케어 > 남성 슬리핑/젤타입 팩
K0000044,남성,C000018,MO(형태소분리),3,쿠팡,뷰티 > 남성화장품 > 남성스킨케어 > 남성 슬리핑/젤타입 팩
K0000045,슬리핑/젤타입,C000018,MO(형태소분리),3,쿠팡,뷰티 > 남성화장품 > 남성스킨케어 > 남성 슬리핑/젤타입 팩
K0000046,남성 아이케어,C000019,EX(완전일치),1,쿠팡,뷰티 > 남성화장품 > 남성스킨케어 > 남성 아이케어
K0000047,남성,C000019,MO(형태소분리),3,쿠팡,뷰티 > 남성화장품 > 남성스킨케어 > 남성 아이케어
K0000048,아이케어,C000019,MO(형태소분리),3,쿠팡,뷰티 > 남성화장품 > 남성스킨케어 > 남성 아이케어
K0000049,남성 애프터 쉐이빙 케어,C000020,EX(완전일치),1,쿠팡,뷰티 > 남성화장품 > 남성스킨케어 > 남성 애프터 쉐이빙 케어
K0000050,남성,C000020,MO(형태소분리),3,쿠팡,뷰티 > 남성화장품 > 남성스킨케어 > 남성 애프터 쉐이빙 케어
K0000051,애프터,C000020,MO(형태소분리),3,쿠팡,뷰티 > 남성화장품 > 남성스킨케어 > 남성 애프터 쉐이빙 케어
K0000052,쉐이빙,C000020,MO(형태소분리),3,쿠팡,뷰티 > 남성화장품 > 남성스킨케어 > 남성 애프터 쉐이빙 케어
K0000053,케어,C000020,MO(형태소분리),3,쿠팡,뷰티 > 남성화장품 > 남성스킨케어 > 남성 애프터 쉐이빙 케어
